binning,run_number,source_period,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,138680128.0,24366.597,110333766.0,138655761.403,110309399.403,248965160.806,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,143846448.0,23832.250999999997,98713498.0,143822615.749,98689665.749,242512281.49800003,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,202457572.0,25427.135000000002,142206160.0,202432144.865,142180732.865,344612877.73,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,165671170.0,18601.347999999998,133161902.0,165652568.652,133143300.652,298795869.304,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,185819916.0,18363.769,137950586.0,185801552.231,137932222.231,323733774.462,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,228123152.0,21879.798000000003,179632324.0,228101272.202,179610444.202,407711716.404,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,168742782.0,15883.538,133150960.0,168726898.462,133135076.462,301861974.924,valid
ajaka_cross_section,1329,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,125264488.0,24660.188000000002,98047830.0,125239827.812,98023169.812,223262997.624,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,68100583.0,18605.164,67782576.0,68081977.836,67763970.836,135845948.672,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,65011408.0,17268.078999999998,71957189.0,64994139.921,71939920.921,136934060.842,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,63993527.0,20015.886000000002,78881136.0,63973511.114,78861120.114,142834631.228,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,63644803.0,17718.972,75862193.0,63627084.028,75844474.028,139471558.056,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,86027434.0,18256.801,97749284.0,86009177.199,97731027.199,183740204.398,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,83833196.0,16523.432,96432772.0,83816672.568,96416248.568,180232921.136,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,88028069.0,14699.818000000001,102540896.0,88013369.182,102526196.182,190539565.364,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,89021025.0,17378.889,100642462.0,89003646.111,100625083.111,189628729.222,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,93557470.0,16783.816,102625284.0,93540686.184,102608500.184,196149186.368,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,128434360.0,19598.748000000003,147990544.0,128414761.252,147970945.252,276385706.504,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,103749882.0,11967.909,137556202.0,103737914.091,137544234.091,241282148.18199998,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,126150988.0,13382.592,137607180.0,126137605.408,137593797.408,263731402.81599998,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,149764758.0,16377.606,168768308.0,149748380.394,168751930.394,318500310.788,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,113604880.0,11662.401999999998,134411986.0,113593217.598,134400323.598,247993541.19599998,valid
ajaka_cross_section,1330,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,85762455.5,11576.172,96684988.0,85750879.328,96673411.828,182424291.156,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,29107877.0,10905.45,32585314.0,29096971.55,32574408.55,61671380.1,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,33912833.0,10627.597,37292440.75,33902205.403,37281813.153,71184018.556,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,48801236.0,15487.488,60247941.0,48785748.512,60232453.512,109018202.024,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,60209354.0,22386.749,74820500.0,60186967.251,74798113.251,134985080.502,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,67233356.0,21174.310999999998,90002436.0,67212181.689,89981261.689,157193443.378,valid
ajaka_cross_section,1331,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,74449519.0,21851.462,96049748.0,74427667.538,96027896.538,170455564.076,valid
