run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1463,1998_uv,P,UV,P_UV,manual,1998_uv/run1463.root,good,,0,0,163796.488,256270.619,0.639154377661998
1464,1998_uv,P,UV,P_UV,manual,1998_uv/run1464.root,good,,0,0,315580.168,256270.619,1.2314332763991178
1465,1998_uv,P,UV,P_UV,manual,1998_uv/run1465.root,good,,0,0,294961.812,256270.619,1.1509778731209135
1466,1998_uv,P,UV,P_UV,manual,1998_uv/run1466.root,good,,0,0,272739.551,256270.619,1.0642638319767743
1467,1998_uv,P,UV,P_UV,manual,1998_uv/run1467.root,good,,0,0,235650.4,256270.619,0.9195373270628421
1468,1998_uv,P,UV,P_UV,manual,1998_uv/run1468.root,good,,0,0,247509.571,256270.619,0.9658132952025998
1470,1998_uv,P,UV,P_UV,manual,1998_uv/run1470.root,good,,0,0,192179.44,256270.619,0.7499082054349742
1471,1998_uv,P,UV,P_UV,manual,1998_uv/run1471.root,good,,0,0,193675.412,256270.619,0.755745675238721
1472,1998_uv,P,UV,P_UV,manual,1998_uv/run1472.root,good,,0,0,193185.514,256270.619,0.7538340319847591
1473,1998_uv,P,UV,P_UV,manual,1998_uv/run1473.root,good,,0,0,171846.221,256270.619,0.6705654423849501
1474,1998_uv,P,UV,P_UV,manual,1998_uv/run1474.root,good,,0,0,176868.735,256270.619,0.6901639200395422
1475,1998_uv,P,UV,P_UV,manual,1998_uv/run1475.root,good,,0,0,334099.135,256270.619,1.3036966012869389
1476,1998_uv,P,UV,P_UV,manual,1998_uv/run1476.root,good,,0,0,281156.064,256270.619,1.0971061181227335
1477,1998_uv,P,UV,P_UV,manual,1998_uv/run1477.root,good,,0,0,262704.733,256270.619,1.0251067173642718
1478,1998_uv,P,UV,P_UV,manual,1998_uv/run1478.root,good,,0,0,185462.548,256270.619,0.723698052955497
1479,1998_uv,P,UV,P_UV,manual,1998_uv/run1479.root,good,,0,0,213858.059,256270.619,0.8345008875168792
1480,1998_uv,P,UV,P_UV,manual,1998_uv/run1480.root,good,,0,0,227618.989,256270.619,0.8881977570749147
